text,label,scam_category,caller_type,audio_duration,urgency_level,contains_blackmail
"Madam ek minute Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,delivery_agent,74,low,False
"Aap sun rahe hain na? Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,friend,88,low,False
"Ji namaskar Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,delivery_agent,52,low,False
ACP Sharma bol raha hoon. Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,police_impersonator,160,high,True
"Ji namaskar Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,bank_kyc,bank_scammer,162,medium,False
Inspector Rajesh Kumar bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,bank_scammer,136,medium,False
Cyber Crime Department se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,lottery,other_scammer,123,medium,False
Sir ek minute suniye Cyber Crime Department se bol raha hoon. Aapke number se objectionable content circulate hua hai.,1,police_digital_arrest,police_impersonator,102,high,False
"Namaste sir Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,office_colleague,75,low,False
Sir ek minute suniye Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,bank_kyc,bank_scammer,68,medium,False
National Cyber Cell se bol raha hoon. Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,police_impersonator,137,high,True
Hello ji Cab 3 minute mein pahunch raha hai.,0,none,doctor_clinic,28,low,False
"Hello ji Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,delivery_agent,76,low,False
"Ji namaskar Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,friend,38,low,False
Dhyan se suniye Aapke naam par ek criminal complaint register hui hai.,1,police_digital_arrest,police_impersonator,216,medium,False
Madam ek minute Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,police_impersonator,250,high,True
Dhyan se suniye Cab 3 minute mein pahunch raha hai.,0,none,office_colleague,87,low,False
Namaste sir Cab 3 minute mein pahunch raha hai.,0,none,office_colleague,28,low,False
"Sir ek minute suniye Beta ghar aa gaya hoon, darwaza khol do.",0,none,friend,18,low,False
Madam ek minute Cyber investigation team ko aapke number se suspicious activity mili hai.,1,police_digital_arrest,police_impersonator,210,high,False
Law enforcement se bol raha hoon. Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,police_impersonator,188,high,True
"Namaste ma'am Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,doctor_clinic,60,low,False
"Hello ji Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,family,77,low,False
Delhi Police se bol raha hoon. Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,police_impersonator,251,high,True
"Hello sir Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,lottery,other_scammer,112,medium,False
"Ji namaskar School fees ki last date kal hai, payment kar dena.",0,none,family,38,low,False
"Hello ma'am Doctor appointment kal 9 baje hai, fasting rehna.",0,none,family,67,low,False
Namaste ma'am National Cyber Cell se bol raha hoon. Verification ke liye cooperate kijiye.,1,police_digital_arrest,police_impersonator,191,high,False
Madam ek minute Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,police_impersonator,258,high,False
"Aap sun rahe hain na? Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,doctor_clinic,33,low,False
"Madam ek minute School fees ki last date kal hai, payment kar dena.",0,none,doctor_clinic,53,low,False
Namaste ma'am Aapka order deliver ho chuka hai. Feedback de dena.,0,none,family,69,low,False
"Namaste ma'am School fees ki last date kal hai, payment kar dena.",0,none,doctor_clinic,60,low,False
"Hello sir Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,friend,21,low,False
"Ji haan suniye Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,friend,33,low,False
"Hello sir Beta ghar aa gaya hoon, darwaza khol do.",0,none,doctor_clinic,82,low,False
Dhyan se suniye Aapka order deliver ho chuka hai. Feedback de dena.,0,none,doctor_clinic,18,low,False
Ji haan suniye Aapka order deliver ho chuka hai. Feedback de dena.,0,none,family,84,low,False
Hello ma'am Aapke khilaaf legal action initiate kiya gaya hai.,1,police_digital_arrest,police_impersonator,260,medium,False
Aap sun rahe hain na? Aapka order deliver ho chuka hai. Feedback de dena.,0,none,friend,95,low,False
"Namaste sir Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,family,25,low,False
Sir ek minute suniye Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,bank_scammer,82,medium,False
Sir ek minute suniye Cab 3 minute mein pahunch raha hai.,0,none,delivery_agent,41,low,False
"Madam ek minute Beta ghar aa gaya hoon, darwaza khol do.",0,none,delivery_agent,95,low,False
Namaste sir Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,police_impersonator,152,medium,False
"Hello sir School fees ki last date kal hai, payment kar dena.",0,none,office_colleague,30,low,False
"Namaste sir Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,family,83,low,False
Aap sun rahe hain na? Project ka review meeting kal 4 baje hai kya?,0,none,doctor_clinic,33,low,False
Hello sir Cab 3 minute mein pahunch raha hai.,0,none,friend,73,low,False
"Hello ma'am Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,friend,84,low,False
Ji haan suniye Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,149,high,True
"Namaste ma'am Beta ghar aa gaya hoon, darwaza khol do.",0,none,friend,15,low,False
"Ji namaskar Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,friend,17,low,False
Aap sun rahe hain na? Cab 3 minute mein pahunch raha hai.,0,none,doctor_clinic,88,low,False
Hello sir Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,amazon,other_scammer,114,medium,False
Namaste sir Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,police_impersonator,194,high,True
"Ji namaskar Beta ghar aa gaya hoon, darwaza khol do.",0,none,family,87,low,False
Delhi Police se bol raha hoon. Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,police_impersonator,241,high,False
"Aap sun rahe hain na? Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,doctor_clinic,42,low,False
Hello ji Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,relative,other_scammer,88,medium,False
Special Investigation Team se bol raha hoon. Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,police_impersonator,108,high,False
Hello ji Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,221,high,True
Namaste ma'am Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,amazon,other_scammer,102,medium,False
Law enforcement se bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,98,high,True
National Cyber Cell se bol raha hoon. Aapke naam par registered account illegal activities mein use hua hai.,1,police_digital_arrest,police_impersonator,155,medium,False
"Ji haan suniye Beta ghar aa gaya hoon, darwaza khol do.",0,none,office_colleague,70,low,False
"Ji namaskar Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,delivery_agent,32,low,False
"Special Investigation Team se bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,lottery,other_scammer,68,medium,False
"Dhyan se suniye Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,friend,60,low,False
"Hello ji Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,delivery_agent,52,low,False
"Police headquarters se bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,bank_kyc,bank_scammer,99,medium,False
"Aap sun rahe hain na? Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,delivery_agent,64,low,False
"Dhyan se suniye Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,doctor_clinic,89,low,False
Ji haan suniye Cyber Crime Department se bol raha hoon. Aapke number se objectionable content circulate hua hai.,1,police_digital_arrest,police_impersonator,236,high,False
Ji namaskar Project ka review meeting kal 4 baje hai kya?,0,none,delivery_agent,70,low,False
National Cyber Cell se bol raha hoon. Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,police_impersonator,180,high,True
Delhi Police se bol raha hoon. Aapke naam par money laundering case register hua hai.,1,police_digital_arrest,police_impersonator,123,medium,False
National Cyber Cell se bol raha hoon. Aapke naam par ek criminal complaint register hui hai.,1,police_digital_arrest,police_impersonator,145,high,False
Law enforcement se bol raha hoon. Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,police_impersonator,229,high,True
Hello ma'am Project ka review meeting kal 4 baje hai kya?,0,none,office_colleague,17,low,False
Law enforcement se bol raha hoon. Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,police_impersonator,123,high,False
"ACP Sharma bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,relative,other_scammer,71,medium,False
Special Investigation Team se bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,129,high,True
"Sir ek minute suniye School fees ki last date kal hai, payment kar dena.",0,none,doctor_clinic,63,low,False
Madam ek minute Cab 3 minute mein pahunch raha hai.,0,none,doctor_clinic,24,low,False
"Namaste ma'am Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,delivery_agent,69,low,False
Hello ji Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,police_impersonator,160,high,True
Madam ek minute Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,lottery,other_scammer,77,medium,False
Hello ji Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,police_impersonator,249,high,True
Crime Branch se bol raha hoon. Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,police_impersonator,233,high,True
Namaste sir Cyber investigation team ko aapke number se suspicious activity mili hai.,1,police_digital_arrest,police_impersonator,172,medium,False
Sir ek minute suniye Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,bank_kyc,bank_scammer,123,medium,False
Inspector Rajesh Kumar bol raha hoon. Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,police_impersonator,158,high,True
Crime Branch se bol raha hoon. Aapka number telecom fraud case mein identify hua hai.,1,police_digital_arrest,police_impersonator,164,medium,False
"Dhyan se suniye Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,amazon,other_scammer,139,medium,False
Ji namaskar Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,police_impersonator,241,medium,False
Madam ek minute Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,bank_scammer,83,medium,False
"Ji haan suniye Doctor appointment kal 9 baje hai, fasting rehna.",0,none,friend,75,low,False
Madam ek minute Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,police_impersonator,96,high,True
"Namaste sir Beta ghar aa gaya hoon, darwaza khol do.",0,none,office_colleague,78,low,False
CBI se bol raha hoon. Aapke Aadhaar se linked account par complaint mili hai.,1,police_digital_arrest,police_impersonator,160,high,False
Madam ek minute Aapke documents ka misuse karke financial fraud kiya gaya hai.,1,police_digital_arrest,police_impersonator,231,medium,False
"Hello ji Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,office_colleague,18,low,False
"Madam ek minute Doctor appointment kal 9 baje hai, fasting rehna.",0,none,delivery_agent,76,low,False
Hello ma'am Aapke Aadhaar se linked account par complaint mili hai.,1,police_digital_arrest,police_impersonator,168,medium,False
Namaste ma'am Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,bank_kyc,bank_scammer,90,medium,False
Hello ji Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,police_impersonator,168,high,True
Hello ji Project ka review meeting kal 4 baje hai kya?,0,none,family,67,low,False
Special Investigation Team se bol raha hoon. Aapka bank account investigation ke dauran freeze kiya ja sakta hai.,1,police_digital_arrest,police_impersonator,192,medium,False
Ji namaskar Cab 3 minute mein pahunch raha hai.,0,none,doctor_clinic,18,low,False
"Ji haan suniye Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,delivery_agent,48,low,False
Ji haan suniye Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,police_impersonator,152,high,True
Hello ma'am Aapka order deliver ho chuka hai. Feedback de dena.,0,none,delivery_agent,65,low,False
Sir ek minute suniye Aapke naam par money laundering case register hua hai.,1,police_digital_arrest,police_impersonator,154,high,False
Cyber Crime Department se bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,117,high,True
"Hello ji Doctor appointment kal 9 baje hai, fasting rehna.",0,none,family,88,low,False
Hello sir Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,police_impersonator,151,high,True
Law enforcement se bol raha hoon. Aapke naam par registered SIM ka misuse report hua hai.,1,police_digital_arrest,police_impersonator,211,high,False
Hello ma'am Cab 3 minute mein pahunch raha hai.,0,none,family,89,low,False
Madam ek minute Aapka order deliver ho chuka hai. Feedback de dena.,0,none,friend,20,low,False
Police headquarters se bol raha hoon. Cyber Crime Department se bol raha hoon. Aapke number se objectionable content circulate hua hai.,1,police_digital_arrest,police_impersonator,149,medium,False
Police headquarters se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,bank_kyc,bank_scammer,76,medium,False
Delhi Police se bol raha hoon. Police verification complete karna zaroori hai.,1,police_digital_arrest,police_impersonator,192,high,False
Law enforcement se bol raha hoon. Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,police_impersonator,95,high,True
Hello ma'am National Cyber Cell se bol raha hoon. Verification ke liye cooperate kijiye.,1,police_digital_arrest,police_impersonator,244,high,False
Madam ek minute Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,police_impersonator,253,high,True
Aap sun rahe hain na? Crime Branch se bol raha hoon. Aapke account se suspicious transactions hui hain.,1,police_digital_arrest,police_impersonator,162,high,False
Namaste sir Project ka review meeting kal 4 baje hai kya?,0,none,doctor_clinic,65,low,False
Hello ji Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,lottery,other_scammer,86,medium,False
"Aap sun rahe hain na? Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,lottery,other_scammer,102,medium,False
ACP Sharma bol raha hoon. Aapka Aadhaar deactivate hone wala hai. Turant update kijiye.,1,bank_kyc,bank_scammer,155,medium,False
"Namaste ma'am Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,family,31,low,False
CBI se bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,bank_scammer,95,medium,False
"Hello ma'am School fees ki last date kal hai, payment kar dena.",0,none,family,29,low,False
Hello ma'am Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,police_impersonator,153,high,True
"Namaste sir School fees ki last date kal hai, payment kar dena.",0,none,friend,18,low,False
Cyber Crime Department se bol raha hoon. Aapke documents ka misuse karke financial fraud kiya gaya hai.,1,police_digital_arrest,police_impersonator,156,medium,False
Ji namaskar Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,police_impersonator,250,high,True
Dhyan se suniye Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,bank_scammer,146,medium,False
"Hello sir Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,family,37,low,False
Dhyan se suniye Aapka number telecom fraud case mein identify hua hai.,1,police_digital_arrest,police_impersonator,205,high,False
National Cyber Cell se bol raha hoon. Aapke Aadhaar se linked account par complaint mili hai.,1,police_digital_arrest,police_impersonator,251,high,False
Police headquarters se bol raha hoon. Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,police_impersonator,185,high,True
Hello ji Police verification complete karna zaroori hai.,1,police_digital_arrest,police_impersonator,224,high,False
Aap sun rahe hain na? Aapke khilaaf legal action initiate kiya gaya hai.,1,police_digital_arrest,police_impersonator,102,medium,False
Ji haan suniye Project ka review meeting kal 4 baje hai kya?,0,none,office_colleague,63,low,False
Aap sun rahe hain na? Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,234,high,True
ACP Sharma bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,lottery,other_scammer,76,medium,False
Namaste ma'am Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,police_impersonator,230,high,True
National Cyber Cell se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,bank_kyc,bank_scammer,157,medium,False
Delhi Police se bol raha hoon. Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,police_impersonator,162,high,True
Aap sun rahe hain na? Aapko investigation officer se turant baat karni hogi.,1,police_digital_arrest,police_impersonator,102,medium,False
Police headquarters se bol raha hoon. Aapko investigation officer se turant baat karni hogi.,1,police_digital_arrest,police_impersonator,251,medium,False
Namaste ma'am Cab 3 minute mein pahunch raha hai.,0,none,delivery_agent,44,low,False
Hello ma'am Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,amazon,other_scammer,101,medium,False
Namaste ma'am Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,258,high,True
Namaste sir Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,police_impersonator,156,high,True
Hello ji National Cyber Cell se bol raha hoon. Verification ke liye cooperate kijiye.,1,police_digital_arrest,police_impersonator,235,medium,False
"Crime Branch se bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,amazon,other_scammer,80,medium,False
"Hello sir Sir kal subah 10 baje meeting hai, agenda mail kar diya.",0,none,friend,75,low,False
Hello sir Cyber investigation team ko aapke number se suspicious activity mili hai.,1,police_digital_arrest,police_impersonator,192,medium,False
Delhi Police se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,bank_kyc,bank_scammer,95,medium,False
Hello ma'am Aapke documents ka misuse karke financial fraud kiya gaya hai.,1,police_digital_arrest,police_impersonator,120,medium,False
"Sir ek minute suniye Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,friend,95,low,False
Namaste sir National Cyber Cell se bol raha hoon. Verification ke liye cooperate kijiye.,1,police_digital_arrest,police_impersonator,111,medium,False
Aap sun rahe hain na? Aapke phone number se koi asleel gande images aur videos share kiye ja rahe hain. Ye cyber crime hai.,1,police_blackmail,police_impersonator,251,high,True
"Dhyan se suniye Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,doctor_clinic,55,low,False
Hello ji Aapko investigation officer se turant baat karni hogi.,1,police_digital_arrest,police_impersonator,152,medium,False
Hello sir Aapka order deliver ho chuka hai. Feedback de dena.,0,none,office_colleague,67,low,False
Hello ji Aapka mobile number cyber fraud investigation mein aaya hai.,1,police_digital_arrest,police_impersonator,249,medium,False
"Namaste sir Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,lottery,other_scammer,145,medium,False
Ji namaskar Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,police_impersonator,154,high,True
"Hello ji Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,amazon,other_scammer,123,medium,False
"National Cyber Cell se bol raha hoon. Amazon se bol raha hoon. Aapka parcel hold hai, clearance charge ₹499 dena hoga.",1,relative,other_scammer,120,medium,False
Hello ma'am Aapke naam par money laundering case register hua hai.,1,police_digital_arrest,police_impersonator,254,medium,False
Hello sir Aapki morphed photos viral ho rahi hain. Cyber cell ne case register kar liya hai.,1,police_blackmail,police_impersonator,260,high,True
"Dhyan se suniye Papa train mein baith gaya hoon, safely pahunch jaunga.",0,none,family,19,low,False
Hello ma'am Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,police_impersonator,155,high,True
Crime Branch se bol raha hoon. Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,relative,other_scammer,109,medium,False
Madam ek minute Project ka review meeting kal 4 baje hai kya?,0,none,friend,79,low,False
"Ji namaskar Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,amazon,other_scammer,75,medium,False
Hello sir Ek gang aapke number ka misuse karke gande videos bana raha hai. Turant verify karna hoga.,1,police_blackmail,police_impersonator,104,high,True
Namaste sir Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,bank_kyc,bank_scammer,117,medium,False
Namaste ma'am Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,relative,other_scammer,82,medium,False
Aap sun rahe hain na? Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,bank_kyc,bank_scammer,161,medium,False
"CBI se bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,relative,other_scammer,82,medium,False
Madam ek minute Aapka number telecom fraud case mein identify hua hai.,1,police_digital_arrest,police_impersonator,165,high,False
Ji haan suniye Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,police_impersonator,153,high,True
"Madam ek minute Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,family,23,low,False
"Inspector Rajesh Kumar bol raha hoon. Aapke father ko accident ho gaya hai. Turant 50,000 bhej dijiye hospital ke liye.",1,bank_kyc,bank_scammer,91,medium,False
Hello ji Aapka KYC pending hai. Account 2 ghante mein block ho jayega. OTP share kijiye.,1,lottery,other_scammer,123,medium,False
"Aap sun rahe hain na? School fees ki last date kal hai, payment kar dena.",0,none,family,93,low,False
"Sir ek minute suniye Mummy main office pahunch gaya, aaj thoda late ho jaunga.",0,none,family,48,low,False
Ji namaskar Aapka order deliver ho chuka hai. Feedback de dena.,0,none,friend,72,low,False
Police headquarters se bol raha hoon. Congratulations! Aapne ₹40 lakh ka lottery jeeta hai. Processing fee dena hoga.,1,aadhaar,other_scammer,73,medium,False
Police headquarters se bol raha hoon. Aapke naam par ek criminal complaint register hui hai.,1,police_digital_arrest,police_impersonator,210,high,False
Hello ma'am Aapko investigation officer se turant baat karni hogi.,1,police_digital_arrest,police_impersonator,96,medium,False
Special Investigation Team se bol raha hoon. Aapke number se pornographic material WhatsApp groups mein bheja ja raha hai. FIR ho chuki hai.,1,police_blackmail,police_impersonator,192,high,True
"Ji haan suniye Bhai aaj shaam ko milte hain, coffee pe baat karte hain.",0,none,office_colleague,50,low,False
Inspector Rajesh Kumar bol raha hoon. Aapke WhatsApp se ladies ko asleel messages bheje ja rahe hain. Aapko suspect maana ja raha hai.,1,police_blackmail,police_impersonator,158,high,True
Ji haan suniye Aapke Aadhaar card ka istemal karke fake SIM issue ki gayi hai.,1,police_digital_arrest,police_impersonator,252,medium,False
Hello sir Aapke phone se illegal obscene content circulate ho raha hai. Digital arrest ho sakta hai.,1,police_blackmail,police_impersonator,149,high,True
